davidson_step,pair_index,residual,selected_by_residual,selected_forced,skipped_converged,skipped_active_tol,skipped_linear_dependent,skipped_locked_old_logic_should_not_happen,correction_norm_before_ortho,correction_norm_after_ortho
1,29,0.00086444907626083466,1,0,0,0,0,0,0.045674571962634615,0.045190055219732669
1,28,2.7115089743345581e-11,1,0,0,0,0,0,1.4740293676400117e-09,1.4529874984433797e-09
2,29,0.00010419985136385628,1,0,0,0,0,0,0.0071190875931319703,0.0063787622827954256
2,28,3.9865070487080009e-12,1,0,0,0,0,0,2.6004718821992732e-10,1.7773112857774569e-10
3,29,4.4095051484576114e-05,1,0,0,0,0,0,0.0046964657799518326,0.0027998869770870876
3,28,1.7875185803086362e-12,1,0,0,0,0,0,2.5289213725959055e-10,1.4487108678332945e-10
4,29,1.3754820821981572e-05,1,0,0,0,0,0,0.00055407938263711738,0.00047341165301456004
4,28,2.3031975478344136e-12,1,0,0,0,0,0,1.0892568799403181e-10,7.1257426046651573e-11
5,29,9.5307653431838566e-06,1,0,0,0,0,0,0.00035768532387004287,0.00032516281388553112
5,28,1.7624913127512675e-12,1,0,0,0,0,0,1.0441153002582765e-10,6.8147606964439906e-11
6,29,6.6514983863258608e-06,1,0,0,0,0,0,0.00027594475123826314,0.0002443110538676633
6,28,1.7295770673999268e-12,1,0,0,0,0,0,1.0527906251187837e-10,7.7641908001836644e-11
7,29,5.494714993433828e-06,1,0,0,0,0,0,0.00027458828895916159,0.00021583284178016478
7,28,1.2688404591977011e-12,1,0,0,0,0,0,9.8710000919931186e-11,5.4880211603139326e-11
8,29,5.5863227257948629e-06,1,0,0,0,0,0,0.00026284678212743059,0.00019510813487891963
8,28,1.0319479521622169e-12,1,0,0,0,0,0,5.6056330748034556e-11,3.5349094027330345e-11
9,29,4.0198473889917854e-06,1,0,0,0,0,0,0.00026404642430169592,0.00018133476736846072
9,28,8.7299746846603519e-13,1,0,0,0,0,0,4.5647904453380366e-11,2.7798441933050698e-11
10,29,2.6791838955542698e-06,1,0,0,0,0,0,0.00014339413026637777,0.0001046280652149718
10,28,5.690190833586603e-13,1,0,0,0,0,0,2.3328386078703056e-11,1.8509614384323072e-11
11,29,1.8477989225563033e-06,1,0,0,0,0,0,7.6105670673855486e-05,5.9385512841490047e-05
11,28,3.1248534666067399e-13,1,0,0,0,0,0,1.1545647896787776e-11,9.3760707661954477e-12
12,29,1.4005125367534349e-06,1,0,0,0,0,0,8.0820315251302143e-05,5.1903578145980174e-05
12,28,1.4994102019214954e-13,1,0,0,0,0,0,7.5384884638287138e-12,6.1933820030207505e-12
13,29,1.1560906202182085e-06,1,0,0,0,0,0,6.4041479345093965e-05,4.5990106367316205e-05
13,28,8.5852212867192585e-14,0,0,1,0,0,0,0,0
13,26,1.7678955878104596e-14,0,0,1,0,0,0,0,0
13,24,1.7609462173750848e-14,0,0,1,0,0,0,0,0
13,27,1.5569096846096581e-14,0,0,1,0,0,0,0,0
13,1,1.4275891474946912e-14,0,0,1,0,0,0,0,0
13,25,1.3544790302668924e-14,0,0,1,0,0,0,0,0
13,13,8.1585836542046849e-15,0,0,1,0,0,0,0,0
13,21,7.7285570662721132e-15,0,0,1,0,0,0,0,0
13,5,6.7824992774207595e-15,0,0,1,0,0,0,0,0
13,11,6.6864462065542243e-15,0,0,1,0,0,0,0,0
13,9,6.6129062634677847e-15,0,0,1,0,0,0,0,0
13,12,6.1184729273651388e-15,0,0,1,0,0,0,0,0
13,16,5.9395227903643814e-15,0,0,1,0,0,0,0,0
13,22,5.8478297918712343e-15,0,0,1,0,0,0,0,0
13,23,5.6620831973969264e-15,0,0,1,0,0,0,0,0
13,14,5.4777742690010472e-15,0,0,1,0,0,0,0,0
13,8,5.4030291053025368e-15,0,0,1,0,0,0,0,0
13,18,5.2271409356622501e-15,0,0,1,0,0,0,0,0
13,4,5.2238373194160778e-15,0,0,1,0,0,0,0,0
13,7,5.1645636161657366e-15,0,0,1,0,0,0,0,0
13,15,5.0120282693442947e-15,0,0,1,0,0,0,0,0
13,17,4.8984408461744062e-15,0,0,1,0,0,0,0,0
13,3,4.8602882348160174e-15,0,0,1,0,0,0,0,0
13,6,4.6594260510932074e-15,0,0,1,0,0,0,0,0
13,20,4.6468938858349337e-15,0,0,1,0,0,0,0,0
13,2,4.4628784955737298e-15,0,0,1,0,0,0,0,0
13,10,4.3112794923002918e-15,0,0,1,0,0,0,0,0
13,19,3.8009410316504536e-15,0,0,1,0,0,0,0,0
13,0,1.1559121415476054e-15,0,0,1,0,0,0,0,0
14,29,7.1710863389575562e-07,1,0,0,0,0,0,3.6459811015896677e-05,2.6610338850340234e-05
14,28,7.7498034087606044e-14,0,0,1,0,0,0,0,0
14,26,1.7904743480399415e-14,0,0,1,0,0,0,0,0
14,24,1.7589304488166745e-14,0,0,1,0,0,0,0,0
14,27,1.5405907741450664e-14,0,0,1,0,0,0,0,0
14,1,1.4253317315763339e-14,0,0,1,0,0,0,0,0
14,25,1.3335022217660877e-14,0,0,1,0,0,0,0,0
14,14,7.6533675903179366e-15,0,0,1,0,0,0,0,0
14,23,7.2632925405177445e-15,0,0,1,0,0,0,0,0
14,21,7.1670858461336951e-15,0,0,1,0,0,0,0,0
14,6,7.0005345528711217e-15,0,0,1,0,0,0,0,0
14,11,6.7500856090043179e-15,0,0,1,0,0,0,0,0
14,12,6.7424619129558168e-15,0,0,1,0,0,0,0,0
14,9,6.4299688333018507e-15,0,0,1,0,0,0,0,0
14,13,5.6517308938196928e-15,0,0,1,0,0,0,0,0
14,22,5.6030581063935294e-15,0,0,1,0,0,0,0,0
14,15,5.4490710825780951e-15,0,0,1,0,0,0,0,0
14,8,5.3459612436904613e-15,0,0,1,0,0,0,0,0
14,20,5.2493411571581128e-15,0,0,1,0,0,0,0,0
14,16,5.1912525001857007e-15,0,0,1,0,0,0,0,0
14,7,5.1825658319076393e-15,0,0,1,0,0,0,0,0
14,4,5.155541266575722e-15,0,0,1,0,0,0,0,0
14,3,5.1292724269161709e-15,0,0,1,0,0,0,0,0
14,2,4.8621779379439674e-15,0,0,1,0,0,0,0,0
14,5,4.523430321234218e-15,0,0,1,0,0,0,0,0
14,10,4.4979188044761046e-15,0,0,1,0,0,0,0,0
14,17,4.4543234705216914e-15,0,0,1,0,0,0,0,0
14,18,4.2886742342047434e-15,0,0,1,0,0,0,0,0
14,19,4.0050811572037293e-15,0,0,1,0,0,0,0,0
14,0,1.1559121415476054e-15,0,0,1,0,0,0,0,0
15,29,4.110143269209552e-07,1,0,0,0,0,0,2.5613562346882249e-05,1.9784102153115525e-05
15,28,7.3652886987539353e-14,0,0,1,0,0,0,0,0
15,26,1.7808330444645115e-14,0,0,1,0,0,0,0,0
15,24,1.76228889827662e-14,0,0,1,0,0,0,0,0
15,27,1.5501750856675233e-14,0,0,1,0,0,0,0,0
15,1,1.4237915640153589e-14,0,0,1,0,0,0,0,0
15,25,1.3132161267655825e-14,0,0,1,0,0,0,0,0
15,13,7.7329003636390286e-15,0,0,1,0,0,0,0,0
15,21,7.2694754113637764e-15,0,0,1,0,0,0,0,0
15,6,6.8697421032517232e-15,0,0,1,0,0,0,0,0
15,10,6.6403764751374573e-15,0,0,1,0,0,0,0,0
15,12,6.5205773774974867e-15,0,0,1,0,0,0,0,0
15,9,6.4456224660031372e-15,0,0,1,0,0,0,0,0
15,22,6.2148704867728212e-15,0,0,1,0,0,0,0,0
15,14,5.8415033257354268e-15,0,0,1,0,0,0,0,0
15,16,5.7730845896252843e-15,0,0,1,0,0,0,0,0
15,4,5.4947898164967322e-15,0,0,1,0,0,0,0,0
15,23,5.4680122130687161e-15,0,0,1,0,0,0,0,0
15,7,5.1047725263622987e-15,0,0,1,0,0,0,0,0
15,20,4.9055493126705706e-15,0,0,1,0,0,0,0,0
15,8,4.9017393549705936e-15,0,0,1,0,0,0,0,0
15,15,4.746417721415573e-15,0,0,1,0,0,0,0,0
15,5,4.7026141533119561e-15,0,0,1,0,0,0,0,0
15,3,4.5671206666595983e-15,0,0,1,0,0,0,0,0
15,2,4.5640324958205767e-15,0,0,1,0,0,0,0,0
15,17,4.5227426897181717e-15,0,0,1,0,0,0,0,0
15,11,4.3717888947090415e-15,0,0,1,0,0,0,0,0
15,18,4.3022904121819576e-15,0,0,1,0,0,0,0,0
15,19,4.0063216523020276e-15,0,0,1,0,0,0,0,0
15,0,1.3074859917979568e-15,0,0,1,0,0,0,0,0
16,29,2.8635373427905454e-07,1,0,0,0,0,0,2.5684338983525264e-05,1.7492846045297454e-05
16,28,7.3785806687826281e-14,0,0,1,0,0,0,0,0
16,27,1.8321208547350033e-14,0,0,1,0,0,0,0,0
16,24,1.7612746169356122e-14,0,0,1,0,0,0,0,0
16,26,1.5549354378174639e-14,0,0,1,0,0,0,0,0
16,1,1.4484550225774458e-14,0,0,1,0,0,0,0,0
16,25,1.2313801883338378e-14,0,0,1,0,0,0,0,0
16,13,7.7790203704049009e-15,0,0,1,0,0,0,0,0
16,21,6.9191068262559813e-15,0,0,1,0,0,0,0,0
16,23,6.7756215859679362e-15,0,0,1,0,0,0,0,0
16,6,6.7616929086155293e-15,0,0,1,0,0,0,0,0
16,8,6.6894978164056751e-15,0,0,1,0,0,0,0,0
16,12,6.5020126703873603e-15,0,0,1,0,0,0,0,0
16,10,6.3256075376306779e-15,0,0,1,0,0,0,0,0
16,17,5.874686834102538e-15,0,0,1,0,0,0,0,0
16,14,5.7847805906142923e-15,0,0,1,0,0,0,0,0
16,22,5.5295630062830485e-15,0,0,1,0,0,0,0,0
16,7,5.3179203191037682e-15,0,0,1,0,0,0,0,0
16,4,5.1114082156658549e-15,0,0,1,0,0,0,0,0
16,3,5.0880513574854468e-15,0,0,1,0,0,0,0,0
16,20,4.9686149284141624e-15,0,0,1,0,0,0,0,0
16,9,4.9380678185655509e-15,0,0,1,0,0,0,0,0
16,5,4.8071419413521035e-15,0,0,1,0,0,0,0,0
16,15,4.7825288783061802e-15,0,0,1,0,0,0,0,0
16,16,4.7148155954949246e-15,0,0,1,0,0,0,0,0
16,2,4.6428743369548128e-15,0,0,1,0,0,0,0,0
16,11,4.6001920966204677e-15,0,0,1,0,0,0,0,0
16,18,4.2377795938234117e-15,0,0,1,0,0,0,0,0
16,19,3.8243254793933111e-15,0,0,1,0,0,0,0,0
16,0,1.1559121415476054e-15,0,0,1,0,0,0,0,0
17,29,2.6249155449917604e-07,1,0,0,0,0,0,1.7347590512356517e-05,1.2944206754704637e-05
17,28,7.3822850334540056e-14,0,0,1,0,0,0,0,0
17,26,1.8412394481256096e-14,0,0,1,0,0,0,0,0
17,24,1.7610309260857348e-14,0,0,1,0,0,0,0,0
17,27,1.5143161635440404e-14,0,0,1,0,0,0,0,0
17,1,1.4230534401294664e-14,0,0,1,0,0,0,0,0
17,25,1.3206686551534106e-14,0,0,1,0,0,0,0,0
17,13,7.9355063049811613e-15,0,0,1,0,0,0,0,0
17,21,6.9682806251790529e-15,0,0,1,0,0,0,0,0
17,5,6.8549277476102113e-15,0,0,1,0,0,0,0,0
17,9,6.8231608107312394e-15,0,0,1,0,0,0,0,0
17,10,6.5098004299006502e-15,0,0,1,0,0,0,0,0
17,23,6.4032108548453312e-15,0,0,1,0,0,0,0,0
17,11,6.3124643566835531e-15,0,0,1,0,0,0,0,0
17,16,5.6937863569587925e-15,0,0,1,0,0,0,0,0
17,3,5.5553636837135238e-15,0,0,1,0,0,0,0,0
17,14,5.4646767664489869e-15,0,0,1,0,0,0,0,0
17,22,5.3545132551968631e-15,0,0,1,0,0,0,0,0
17,8,5.3298462938297535e-15,0,0,1,0,0,0,0,0
17,7,5.2637190517678511e-15,0,0,1,0,0,0,0,0
17,15,5.1794185310025368e-15,0,0,1,0,0,0,0,0
17,20,5.0252842292900515e-15,0,0,1,0,0,0,0,0
17,4,4.7793853036911044e-15,0,0,1,0,0,0,0,0
17,6,4.7699755733982269e-15,0,0,1,0,0,0,0,0
17,17,4.6557850510154959e-15,0,0,1,0,0,0,0,0
17,2,4.5320092642087609e-15,0,0,1,0,0,0,0,0
17,12,4.4549783213135559e-15,0,0,1,0,0,0,0,0
17,19,4.0519721318116623e-15,0,0,1,0,0,0,0,0
17,18,3.672655408887098e-15,0,0,1,0,0,0,0,0
17,0,1.1559121415476054e-15,0,0,1,0,0,0,0,0
18,29,2.3154707658726079e-07,1,0,0,0,0,0,1.4221366987350524e-05,1.0849936810398545e-05
18,28,7.415776919164939e-14,0,0,1,0,0,0,0,0
18,26,1.8600408563126969e-14,0,0,1,0,0,0,0,0
18,24,1.7648120865034618e-14,0,0,1,0,0,0,0,0
18,27,1.5775462092263035e-14,0,0,1,0,0,0,0,0
18,1,1.4362377307593849e-14,0,0,1,0,0,0,0,0
18,25,1.1965885881019361e-14,0,0,1,0,0,0,0,0
18,13,7.7375005828171666e-15,0,0,1,0,0,0,0,0
18,9,7.5798769953990896e-15,0,0,1,0,0,0,0,0
18,23,7.4257818617418177e-15,0,0,1,0,0,0,0,0
18,6,6.8842718139288466e-15,0,0,1,0,0,0,0,0
18,10,6.6249521768491516e-15,0,0,1,0,0,0,0,0
18,21,6.4946212377361242e-15,0,0,1,0,0,0,0,0
18,11,6.2390743122885579e-15,0,0,1,0,0,0,0,0
18,22,5.8176290846971492e-15,0,0,1,0,0,0,0,0
18,4,5.5975556782549594e-15,0,0,1,0,0,0,0,0
18,20,5.5347522162095595e-15,0,0,1,0,0,0,0,0
18,7,5.5018487174995802e-15,0,0,1,0,0,0,0,0
18,14,5.3942951031628142e-15,0,0,1,0,0,0,0,0
18,17,5.2814740695221438e-15,0,0,1,0,0,0,0,0
18,16,5.141960004335961e-15,0,0,1,0,0,0,0,0
18,5,5.0872647736042649e-15,0,0,1,0,0,0,0,0
18,3,4.8825131907465874e-15,0,0,1,0,0,0,0,0
18,15,4.6835185086245763e-15,0,0,1,0,0,0,0,0
18,2,4.6338004747243897e-15,0,0,1,0,0,0,0,0
18,19,4.32369511379155e-15,0,0,1,0,0,0,0,0
18,8,4.3081798427073302e-15,0,0,1,0,0,0,0,0
18,12,4.2569401765070849e-15,0,0,1,0,0,0,0,0
18,18,4.0517414863473093e-15,0,0,1,0,0,0,0,0
18,0,1.1559121415476054e-15,0,0,1,0,0,0,0,0
19,29,2.2143159257907865e-07,1,0,0,0,0,0,1.5004613676878566e-05,1.0267533416162945e-05
19,28,7.3975522461392124e-14,0,0,1,0,0,0,0,0
19,26,1.8422166668734271e-14,0,0,1,0,0,0,0,0
19,24,1.7541685464483891e-14,0,0,1,0,0,0,0,0
19,27,1.6169622976426385e-14,0,0,1,0,0,0,0,0
19,1,1.4207446034045458e-14,0,0,1,0,0,0,0,0
19,25,1.1940452276813125e-14,0,0,1,0,0,0,0,0
19,21,8.028925198660908e-15,0,0,1,0,0,0,0,0
19,13,7.8630408284086663e-15,0,0,1,0,0,0,0,0
19,6,6.8256297927493803e-15,0,0,1,0,0,0,0,0
19,9,6.7701482629221839e-15,0,0,1,0,0,0,0,0
19,11,6.7520239914629359e-15,0,0,1,0,0,0,0,0
19,23,6.6943121870659692e-15,0,0,1,0,0,0,0,0
19,12,6.3678564917443442e-15,0,0,1,0,0,0,0,0
19,16,5.8351722505542388e-15,0,0,1,0,0,0,0,0
19,3,5.6778112251554407e-15,0,0,1,0,0,0,0,0
19,7,5.5475376686777278e-15,0,0,1,0,0,0,0,0
19,14,5.5444595645121182e-15,0,0,1,0,0,0,0,0
19,8,5.4882904464426355e-15,0,0,1,0,0,0,0,0
19,20,5.4708038607482533e-15,0,0,1,0,0,0,0,0
19,22,5.3985161667518888e-15,0,0,1,0,0,0,0,0
19,18,5.1215911227980875e-15,0,0,1,0,0,0,0,0
19,5,4.6353855012639758e-15,0,0,1,0,0,0,0,0
19,4,4.616522220226799e-15,0,0,1,0,0,0,0,0
19,15,4.4818058273138388e-15,0,0,1,0,0,0,0,0
19,17,4.4473317943760009e-15,0,0,1,0,0,0,0,0
19,2,4.443939759745864e-15,0,0,1,0,0,0,0,0
19,19,4.3828234131565684e-15,0,0,1,0,0,0,0,0
19,10,4.1506198097608777e-15,0,0,1,0,0,0,0,0
19,0,1.1559121415476054e-15,0,0,1,0,0,0,0,0
20,29,1.5014853382980261e-07,1,0,0,0,0,0,8.8983603563331863e-06,5.985214657098532e-06
20,28,7.0926358906264757e-14,0,0,1,0,0,0,0,0
20,27,1.8108815466032255e-14,0,0,1,0,0,0,0,0
20,24,1.7627614116969108e-14,0,0,1,0,0,0,0,0
20,26,1.5747621896981315e-14,0,0,1,0,0,0,0,0
20,1,1.4238651203028564e-14,0,0,1,0,0,0,0,0
20,25,1.2408775666784223e-14,0,0,1,0,0,0,0,0
20,21,7.7369740673379077e-15,0,0,1,0,0,0,0,0
20,13,7.5902834640690299e-15,0,0,1,0,0,0,0,0
20,23,6.8036394989789595e-15,0,0,1,0,0,0,0,0
20,5,6.7427684443385275e-15,0,0,1,0,0,0,0,0
20,10,6.6539785323543526e-15,0,0,1,0,0,0,0,0
20,8,6.4339794507107437e-15,0,0,1,0,0,0,0,0
20,11,6.2882451962334373e-15,0,0,1,0,0,0,0,0
20,16,5.8989705819784533e-15,0,0,1,0,0,0,0,0
20,14,5.7782088001128228e-15,0,0,1,0,0,0,0,0
20,22,5.7606908731644129e-15,0,0,1,0,0,0,0,0
20,9,5.5967151220908009e-15,0,0,1,0,0,0,0,0
20,3,5.2217618214783982e-15,0,0,1,0,0,0,0,0
20,4,5.1057178448190551e-15,0,0,1,0,0,0,0,0
20,7,5.0787461723437482e-15,0,0,1,0,0,0,0,0
20,20,5.0748745227465127e-15,0,0,1,0,0,0,0,0
20,15,4.8594970898298718e-15,0,0,1,0,0,0,0,0
20,2,4.6614095174532117e-15,0,0,1,0,0,0,0,0
20,6,4.6270792059419366e-15,0,0,1,0,0,0,0,0
20,17,4.4891015589085605e-15,0,0,1,0,0,0,0,0
20,12,4.2255045290997745e-15,0,0,1,0,0,0,0,0
20,18,3.9142564585709868e-15,0,0,1,0,0,0,0,0
20,19,3.7696839070832383e-15,0,0,1,0,0,0,0,0
20,0,1.1559121415476054e-15,0,0,1,0,0,0,0,0
21,29,8.3176602307030282e-08,1,0,0,0,0,0,5.7333292006254193e-06,4.0941573375580823e-06
21,28,7.0622213992640002e-14,0,0,1,0,0,0,0,0
21,27,1.7898899311951751e-14,0,0,1,0,0,0,0,0
21,24,1.7448935870594982e-14,0,0,1,0,0,0,0,0
21,26,1.7041241573536903e-14,0,0,1,0,0,0,0,0
21,1,1.4178501341112413e-14,0,0,1,0,0,0,0,0
21,25,1.1931430232627545e-14,0,0,1,0,0,0,0,0
21,13,7.5661623587266091e-15,0,0,1,0,0,0,0,0
21,21,7.0355343135030798e-15,0,0,1,0,0,0,0,0
21,6,6.9254862398836583e-15,0,0,1,0,0,0,0,0
21,23,6.6827534788519085e-15,0,0,1,0,0,0,0,0
21,11,6.5606901407305551e-15,0,0,1,0,0,0,0,0
21,9,6.4937235269344821e-15,0,0,1,0,0,0,0,0
21,12,5.9960508960705749e-15,0,0,1,0,0,0,0,0
21,14,5.7814124953303802e-15,0,0,1,0,0,0,0,0
21,15,5.6088883318532053e-15,0,0,1,0,0,0,0,0
21,22,5.5530362892946052e-15,0,0,1,0,0,0,0,0
21,8,5.3152352540593071e-15,0,0,1,0,0,0,0,0
21,7,5.2758472913237453e-15,0,0,1,0,0,0,0,0
21,17,5.207672792979474e-15,0,0,1,0,0,0,0,0
21,3,5.1731363114436409e-15,0,0,1,0,0,0,0,0
21,4,5.0974335223256572e-15,0,0,1,0,0,0,0,0
21,20,4.9671869531278642e-15,0,0,1,0,0,0,0,0
21,10,4.8847498872970947e-15,0,0,1,0,0,0,0,0
21,2,4.7775436296722796e-15,0,0,1,0,0,0,0,0
21,5,4.5758895047436963e-15,0,0,1,0,0,0,0,0
21,16,4.4406664257965155e-15,0,0,1,0,0,0,0,0
21,18,3.8504546310079371e-15,0,0,1,0,0,0,0,0
21,19,3.7422512808721924e-15,0,0,1,0,0,0,0,0
21,0,1.1559121415476054e-15,0,0,1,0,0,0,0,0
22,29,5.5950241563373269e-08,1,0,0,0,0,0,4.6860515712625308e-06,2.9148224704015123e-06
22,28,7.1962544372368032e-14,0,0,1,0,0,0,0,0
22,27,1.7639267251221982e-14,0,0,1,0,0,0,0,0
